date,near,next,vix
2018-04-19,2018-05-18,2018-05-21,14.05524976845324
2018-04-20,2018-05-18,2018-05-21,14.850877905855626
2018-04-23,2018-05-23,2018-05-25,14.774003056338694
2018-04-24,2018-05-23,2018-05-25,16.204658401399033
2018-04-25,2018-05-25,2018-05-29,16.3254161741791
2018-04-26,2018-05-25,2018-05-29,14.876238074332226
2018-04-27,2018-05-25,2018-05-29,13.816683547977027
2018-04-30,2018-05-30,2018-05-31,14.130501968466818
2018-05-01,2018-05-31,2018-06-01,13.808363072867738
2018-05-02,2018-06-01,2018-06-04,14.292402095180426
2018-05-03,2018-06-01,2018-06-04,14.561347745588174
2018-05-04,2018-06-01,2018-06-04,13.2480437425221
2018-05-07,2018-06-06,2018-06-08,13.375669958816719
2018-05-08,2018-06-06,2018-06-08,13.328569555581279
2018-05-09,2018-06-08,2018-06-11,12.373467813296967
2018-05-10,2018-06-08,2018-06-11,11.691645144540162
2018-05-11,2018-06-08,2018-06-11,11.244716649036311
2018-05-14,2018-06-13,2018-06-15,11.64736812720257
2018-05-15,2018-06-13,2018-06-15,12.783050208671975
2018-05-16,2018-06-15,2018-06-18,12.085815974953988
2018-05-17,2018-06-15,2018-06-18,11.892835461230078
2018-05-18,2018-06-15,2018-06-18,11.847846692986675
